finding_id,source_lane,community_or_group,primary_theme_id,primary_theme,synthesis_claim_ids,evidence_role,confidence,external_verification_needed,article_gap_refs
F-025,intentional-community and communal-history corpus,Llano del Rio,T-08,"capacity, infrastructure, labor, and external dependence",S-11;S-12,"mixed mechanism, counterevidence, or boundary case",high,no,G-015;G-018
F-026,intentional-community and communal-history corpus,Sunrise Colony,T-08,"capacity, infrastructure, labor, and external dependence",S-11;S-12,"mixed mechanism, counterevidence, or boundary case",high,no,G-015
F-027,intentional-community and communal-history corpus,Shakers,T-06,"children, family, education, and direct rights",S-06;S-11;S-12,"mixed mechanism, counterevidence, or boundary case",medium,no,
F-028,intentional-community and communal-history corpus,Kibbutzim,T-08,"capacity, infrastructure, labor, and external dependence",S-11;S-12,"mixed mechanism, counterevidence, or boundary case",high,no,G-014
F-029,intentional-community and communal-history corpus,Kibbutzim,T-06,"children, family, education, and direct rights",S-06;S-11,protective design or remedy component,medium,no,G-017
F-030,intentional-community and communal-history corpus,Rajneeshpuram,T-10,"success, outcomes, source quality, and measurement",S-09;S-11,"method, source-quality, or measurement boundary",high,yes,
F-031,bounded primary-corpus search,Communal Societies volumes 1-8,T-12,dangerous-child bounded null and adjacent response evidence,S-14,bounded or unresolved null,high,no,
F-032,intentional-community and communal-history corpus,United States communal movements,T-10,"success, outcomes, source quality, and measurement",S-11,bounded or unresolved null,high,yes,
F-033,intentional-community and communal-history corpus,Sunrise Cooperative Farm Community,T-03,"membership, classification, and safety prediction",S-03;S-04;S-12,protective design or remedy component,high,no,G-010;G-015
F-034,intentional-community and communal-history corpus,Ralahine,T-01,"authority, role fusion, and capture",S-01;S-02;S-08,"harm, failure, or capture mechanism case",high,no,G-004;G-012
F-035,intentional-community and communal-history corpus,Aquarian Foundation / Cedar-by-the-Sea,T-01,"authority, role fusion, and capture",S-01;S-02;S-08,"harm, failure, or capture mechanism case",medium,yes,G-004;G-012
F-036,intentional-community and communal-history corpus,Communal and religious groups,T-09,"external correction, law, and professional boundaries",S-09;S-10,"harm, failure, or capture mechanism case",high,yes,G-001;G-013
F-037,intentional-community and communal-history corpus,Mountain Cove,T-02,"participation, dissent, reporting, and evidence",S-02;S-09,"harm, failure, or capture mechanism case",medium,yes,G-003
F-038,intentional-community and communal-history corpus,Findhorn Foundation,T-03,"membership, classification, and safety prediction",S-03;S-04;S-11,"method, source-quality, or measurement boundary",medium,no,G-004;G-007;G-018
F-039,intentional-community and communal-history corpus,Harvard Shaker community,T-04,"conflict, bounded separation, and remedy",S-03;S-09,"harm, failure, or capture mechanism case",high,no,G-001
F-040,intentional-community and communal-history corpus,Shakers and Hutterites,T-05,"care, medicine, therapy, and governance firewalls",S-05;S-11,"method, source-quality, or measurement boundary",medium,yes,G-018
F-041,intentional-community and communal-history corpus,Intentional communities,T-10,"success, outcomes, source quality, and measurement",S-09;S-11,"method, source-quality, or measurement boundary",high,yes,G-018
F-042,intentional-community and communal-history corpus,American-Swedish Colony in Jerusalem,T-07,"assets, exit, records, and material security",S-07;S-08,"harm, failure, or capture mechanism case",medium,yes,G-001;G-003;G-004;G-012
F-043,intentional-community and communal-history corpus,American-Swedish Colony in Jerusalem,T-06,"children, family, education, and direct rights",S-05;S-06;S-12,"harm, failure, or capture mechanism case",medium,yes,G-005;G-008;G-009;G-013;G-017
F-044,intentional-community and communal-history corpus,American-Swedish Colony in Jerusalem,T-07,"assets, exit, records, and material security",S-07;S-08;S-10;S-11;S-13,protective design or remedy component,high,no,G-001;G-008;G-012
F-045,intentional-community and communal-history corpus,Padanaram Settlement,T-03,"membership, classification, and safety prediction",S-03;S-04;S-11,"method, source-quality, or measurement boundary",high,no,G-010;G-018
F-046,intentional-community and communal-history corpus,Strangite Mormon community on Beaver Island,T-04,"conflict, bounded separation, and remedy",S-03;S-09,"harm, failure, or capture mechanism case",medium,yes,G-001
F-047,intentional-community and communal-history corpus,Kibbutz Kadarim,T-07,"assets, exit, records, and material security",S-07;S-08;S-11;S-12,protective design or remedy component,medium,no,G-004;G-012
F-048,bounded primary-corpus search,Communal Societies volumes 9-15,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,
F-049,intentional-community and communal-history corpus,Oneida Community,T-06,"children, family, education, and direct rights",S-05;S-06,"harm, failure, or capture mechanism case",high,yes,G-004;G-005;G-009
F-050,intentional-community and communal-history corpus,Damanhur,T-09,"external correction, law, and professional boundaries",S-07;S-08;S-09;S-10,"harm, failure, or capture mechanism case",medium,yes,G-001;G-003;G-012;G-013
F-051,intentional-community and communal-history corpus,Bruderhof,T-06,"children, family, education, and direct rights",S-06;S-07,"harm, failure, or capture mechanism case",low,yes,G-001;G-005;G-008
F-052,intentional-community and communal-history corpus,Kibbutz movement,T-01,"authority, role fusion, and capture",S-01;S-02;S-08;S-12,"mixed mechanism, counterevidence, or boundary case",high,no,G-004;G-006;G-012
F-053,intentional-community and communal-history corpus,Israelite House of David,T-09,"external correction, law, and professional boundaries",S-09;S-10,"harm, failure, or capture mechanism case",low,yes,G-001;G-013
F-054,intentional-community and communal-history corpus,Kibbutz movement and Beit Oren,T-07,"assets, exit, records, and material security",S-07;S-08;S-11;S-12;S-13,protective design or remedy component,high,no,G-012
F-055,intentional-community and communal-history corpus,Shakers,T-02,"participation, dissent, reporting, and evidence",S-02;S-09,"harm, failure, or capture mechanism case",high,no,G-003
F-056,intentional-community and communal-history corpus,Oneida Community,T-05,"care, medicine, therapy, and governance firewalls",S-05,"harm, failure, or capture mechanism case",high,no,G-002;G-005;G-007;G-018
F-057,intentional-community and communal-history corpus,Oneida Community,T-05,"care, medicine, therapy, and governance firewalls",S-05,"harm, failure, or capture mechanism case",high,yes,G-002;G-005;G-013
F-058,intentional-community and communal-history corpus,Church Universal and Triumphant / Royal Teton Ranch,T-03,"membership, classification, and safety prediction",S-03;S-04;S-11,"method, source-quality, or measurement boundary",medium,yes,G-006;G-007;G-018
F-059,intentional-community and communal-history corpus,Intentional communities in Australia New Zealand and Findhorn,T-03,"membership, classification, and safety prediction",S-03;S-04;S-11;S-12,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-007;G-010;G-018
F-060,intentional-community and communal-history corpus,Comparative intentional-community samples,T-10,"success, outcomes, source quality, and measurement",S-11;S-12,"method, source-quality, or measurement boundary",high,no,G-006;G-007;G-010;G-018
F-061,intentional-community and communal-history corpus,Love Israel Family,T-01,"authority, role fusion, and capture",S-01;S-02;S-07;S-08;S-13,"harm, failure, or capture mechanism case",medium,yes,G-001;G-003;G-004;G-011;G-012;G-016
F-062,intentional-community and communal-history corpus,Love Israel Family and Grangeville Idaho,T-09,"external correction, law, and professional boundaries",S-09;S-10,"mixed mechanism, counterevidence, or boundary case",medium,no,G-013
F-063,intentional-community and communal-history corpus,Synanon,T-01,"authority, role fusion, and capture",S-01;S-02,"harm, failure, or capture mechanism case",medium,yes,G-002;G-004;G-005;G-007;G-016;G-018
F-064,bounded primary-corpus search,Communal Societies volumes 16-20,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,
F-065,intentional-community and communal-history corpus,Icaria at Nauvoo,T-09,"external correction, law, and professional boundaries",S-09;S-10,"harm, failure, or capture mechanism case",high,yes,G-001;G-003;G-004;G-012;G-013
F-066,intentional-community and communal-history corpus,Icaria at Nauvoo,T-04,"conflict, bounded separation, and remedy",S-03;S-09,"harm, failure, or capture mechanism case",medium,yes,G-001;G-010;G-018
F-067,intentional-community and communal-history corpus,Jesus Fellowship / New Creation Christian Community,T-07,"assets, exit, records, and material security",S-07;S-08,"harm, failure, or capture mechanism case",high,yes,G-001;G-005;G-007;G-013
F-068,intentional-community and communal-history corpus,Jesus Fellowship / New Creation Christian Community,T-11,"succession, fission, and movement continuity",S-07;S-11;S-13,protective design or remedy component,medium,yes,G-008;G-012
F-069,intentional-community and communal-history corpus,Jesus Fellowship / New Creation Christian Community,T-03,"membership, classification, and safety prediction",S-03;S-04;S-11;S-12,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-010;G-014;G-015;G-018
F-070,intentional-community and communal-history corpus,Black Bear Ranch,T-02,"participation, dissent, reporting, and evidence",S-02;S-09,"harm, failure, or capture mechanism case",high,no,G-003;G-007
F-071,intentional-community and communal-history corpus,Grasmere,T-03,"membership, classification, and safety prediction",S-03;S-04;S-07;S-11;S-12,protective design or remedy component,high,no,G-008;G-009;G-010;G-012;G-018
F-072,intentional-community and communal-history corpus,Grasmere,T-04,"conflict, bounded separation, and remedy",S-03;S-09;S-11,protective design or remedy component,high,no,G-011
F-073,intentional-community and communal-history corpus,Ananda Village,T-01,"authority, role fusion, and capture",S-01;S-02,"harm, failure, or capture mechanism case",high,yes,G-003;G-004;G-007;G-018
F-074,intentional-community and communal-history corpus,Morehouse / Institute of Human Abilities,T-05,"care, medicine, therapy, and governance firewalls",S-05;S-09,"harm, failure, or capture mechanism case",medium,yes,G-002;G-005
F-075,intentional-community and communal-history corpus,Hutterite colonies,T-03,"membership, classification, and safety prediction",S-03;S-04;S-06;S-11;S-12,"method, source-quality, or measurement boundary",medium,yes,G-005;G-009;G-013;G-018
F-076,bounded primary-corpus search,Communal Societies volumes 21-25,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,
F-077,intentional-community and communal-history corpus,Society of Separatists of Zoar,T-04,"conflict, bounded separation, and remedy",S-03;S-07;S-09,"harm, failure, or capture mechanism case",high,yes,G-001;G-008;G-012
F-078,intentional-community and communal-history corpus,Harmony Society and New Philadelphia seceders,T-07,"assets, exit, records, and material security",S-07;S-08;S-10,"harm, failure, or capture mechanism case",medium,yes,G-001;G-011;G-012;G-013;G-016
F-079,intentional-community and communal-history corpus,Harmony Society,T-11,"succession, fission, and movement continuity",S-13,protective design or remedy component,high,yes,G-004;G-016
F-080,intentional-community and communal-history corpus,Community of True Inspiration / Amana,T-11,"succession, fission, and movement continuity",S-13,protective design or remedy component,high,yes,G-004;G-016
F-081,intentional-community and communal-history corpus,Shakers,T-02,"participation, dissent, reporting, and evidence",S-02;S-09;S-11,"method, source-quality, or measurement boundary",high,yes,G-003;G-007;G-018
F-082,intentional-community and communal-history corpus,Outlaws of Kalalau,T-04,"conflict, bounded separation, and remedy",S-03;S-09,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-001;G-004;G-013;G-018
F-083,intentional-community and communal-history corpus,Southport Village Settlement,T-03,"membership, classification, and safety prediction",S-03;S-04;S-11;S-12,"mixed mechanism, counterevidence, or boundary case",high,yes,G-010;G-014;G-015;G-018
F-084,intentional-community and communal-history corpus,The Family International / Children of God,T-01,"authority, role fusion, and capture",S-01;S-02;S-06;S-08;S-11;S-13,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-001;G-005;G-009;G-017;G-018
F-085,intentional-community and communal-history corpus,The Family International,T-02,"participation, dissent, reporting, and evidence",S-02;S-09;S-11,"mixed mechanism, counterevidence, or boundary case",high,yes,G-003;G-004;G-007;G-018
F-086,intentional-community and communal-history corpus,Oneida Community,T-09,"external correction, law, and professional boundaries",S-05;S-06;S-09;S-10;S-11,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-001;G-011;G-013
F-087,intentional-community and communal-history corpus,New Harmony,T-03,"membership, classification, and safety prediction",S-03;S-04;S-11;S-12,"method, source-quality, or measurement boundary",high,yes,G-010;G-018
F-088,intentional-community and communal-history corpus,Mary Baker Eddy's Pleasant View household / Christian Science,T-01,"authority, role fusion, and capture",S-01;S-02;S-08,"harm, failure, or capture mechanism case",high,yes,G-004;G-005;G-014;G-018
F-089,intentional-community and communal-history corpus,Order of the Solar Temple,T-01,"authority, role fusion, and capture",S-01;S-02;S-08,"harm, failure, or capture mechanism case",medium,yes,G-003;G-004;G-007;G-013;G-018
F-090,bounded primary-corpus search,Communal Societies volumes 26-28,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,
F-091,intentional-community and communal-history corpus,Community of True Inspiration at Ebenezer,T-03,"membership, classification, and safety prediction",S-03;S-04;S-09,"harm, failure, or capture mechanism case",high,yes,G-001;G-003;G-010;G-018
F-092,intentional-community and communal-history corpus,Moora Moora Cooperative Community,T-07,"assets, exit, records, and material security",S-07;S-08;S-11;S-12,protective design or remedy component,high,yes,G-008;G-012
F-093,intentional-community and communal-history corpus,Moora Moora Cooperative Community,T-04,"conflict, bounded separation, and remedy",S-03;S-09;S-11,"mixed mechanism, counterevidence, or boundary case",medium,no,G-011
F-094,intentional-community and communal-history corpus,Home of Truth,T-09,"external correction, law, and professional boundaries",S-05;S-09;S-10,"harm, failure, or capture mechanism case",high,yes,G-003;G-013
F-095,intentional-community and communal-history corpus,United Society of Believers / Shakers,T-01,"authority, role fusion, and capture",S-01;S-02;S-08;S-11;S-13,protective design or remedy component,high,yes,G-004
F-096,intentional-community and communal-history corpus,Our Land,T-07,"assets, exit, records, and material security",S-07;S-08,protective design or remedy component,medium,yes,G-001;G-004;G-012;G-013;G-018
F-097,intentional-community and communal-history corpus,Peoples Temple / Jonestown,T-01,"authority, role fusion, and capture",S-01;S-02;S-09,"harm, failure, or capture mechanism case",medium,yes,G-003;G-004;G-007;G-013
F-098,intentional-community and communal-history corpus,Koreshan Unity,T-11,"succession, fission, and movement continuity",S-11;S-13,protective design or remedy component,high,yes,G-004;G-006;G-012;G-016
F-099,intentional-community and communal-history corpus,Starland Hutterite colony,T-06,"children, family, education, and direct rights",S-06;S-07;S-11;S-13,protective design or remedy component,medium,yes,G-008;G-016
F-100,bounded primary-corpus search,Communal Societies volumes 29-30,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,
F-101,intentional-community and communal-history corpus,Christian Catholic Apostolic Church / Zion City,T-01,"authority, role fusion, and capture",S-01;S-02;S-08,"harm, failure, or capture mechanism case",high,yes,G-004;G-012
F-102,intentional-community and communal-history corpus,Christian Catholic Apostolic Church / Zion City,T-09,"external correction, law, and professional boundaries",S-09;S-10,"harm, failure, or capture mechanism case",high,yes,G-004;G-005;G-007;G-013;G-018
F-103,intentional-community and communal-history corpus,Christian Catholic Apostolic Church / Zion City,T-11,"succession, fission, and movement continuity",S-07;S-13,protective design or remedy component,high,yes,G-003;G-004;G-006;G-016
F-104,intentional-community and communal-history corpus,United Society of Believers / Shakers; Chapman family,T-06,"children, family, education, and direct rights",S-06;S-09;S-10,"harm, failure, or capture mechanism case",medium,yes,G-003;G-005;G-008;G-009;G-013
F-105,bounded primary-corpus search,Communal Societies volume 31,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-106,intentional-community and communal-history corpus,"Seven intentional communities in India, the United Kingdom, and Germany",T-03,"membership, classification, and safety prediction",S-03;S-04;S-11;S-12,"method, source-quality, or measurement boundary",high,no,G-010;G-018
F-107,intentional-community and communal-history corpus,White Water Shaker community,T-07,"assets, exit, records, and material security",S-07;S-08;S-09;S-10,"mixed mechanism, counterevidence, or boundary case",low,yes,G-001;G-012;G-013
F-108,intentional-community and communal-history corpus,"Renaissance, Riverside, Tui, and Wilderland communities",T-10,"success, outcomes, source quality, and measurement",S-07;S-08;S-11;S-12;S-13,"method, source-quality, or measurement boundary",high,yes,G-006;G-007;G-012;G-016
F-109,intentional-community and communal-history corpus,Renaissance Community Trust,T-01,"authority, role fusion, and capture",S-01;S-02;S-03;S-07;S-08;S-09;S-10;S-11,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-001;G-003;G-004;G-012;G-013
F-110,intentional-community and communal-history corpus,Wilderland Community Trust,T-01,"authority, role fusion, and capture",S-01;S-02;S-07;S-08;S-11;S-13,"mixed mechanism, counterevidence, or boundary case",high,yes,G-004;G-012;G-016
F-111,bounded primary-corpus search,Communal Societies volume 32,T-12,dangerous-child bounded null and adjacent response evidence,S-07;S-11;S-14,bounded or unresolved null,high,no,G-018
F-112,intentional-community and communal-history corpus,Harmony Society and New Philadelphia seceders,T-07,"assets, exit, records, and material security",S-07;S-08;S-12,"harm, failure, or capture mechanism case",medium,yes,G-001;G-008;G-012
F-113,intentional-community and communal-history corpus,United Society of Believers (Shakers),T-02,"participation, dissent, reporting, and evidence",S-02;S-07;S-09,protective design or remedy component,high,no,G-003
F-114,intentional-community and communal-history corpus,Bruderhof leavers and the KIT/Hummer network,T-11,"succession, fission, and movement continuity",S-07;S-09;S-11;S-13,protective design or remedy component,medium,yes,G-003;G-005;G-008;G-016
F-115,bounded primary-corpus search,Communal Societies volume 33,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-116,intentional-community and communal-history corpus,Isaac Bullard's Pilgrims; Union Village Shakers,T-06,"children, family, education, and direct rights",S-05;S-06;S-10;S-12,"harm, failure, or capture mechanism case",low-medium,yes,G-005;G-009;G-013
F-117,intentional-community and communal-history corpus,Bergholz Amish community,T-01,"authority, role fusion, and capture",S-01;S-02;S-08,"harm, failure, or capture mechanism case",medium,yes,G-004;G-007
F-118,bounded primary-corpus search,Communal Societies volume 34,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-119,intentional-community and communal-history corpus,Seventh Elect Church in Israel,T-09,"external correction, law, and professional boundaries",S-05;S-07;S-09;S-10,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-001;G-012;G-013
F-120,intentional-community and communal-history corpus,Seventh Elect Church in Israel,T-07,"assets, exit, records, and material security",S-07;S-08;S-10,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-004;G-012;G-013
F-121,bounded primary-corpus search,Communal Societies volume 35,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-122,intentional-community and communal-history corpus,Camphill Soltane; Camphill movement,T-02,"participation, dissent, reporting, and evidence",S-02;S-06;S-09,protective design or remedy component,medium,yes,G-003;G-005
F-123,intentional-community and communal-history corpus,Religious intentional communities subjected to government raids,T-09,"external correction, law, and professional boundaries",S-09;S-10;S-11,"method, source-quality, or measurement boundary",medium-low,yes,G-013;G-018
F-124,intentional-community and communal-history corpus,Oneida Community; Oneida Limited; descendant community,T-02,"participation, dissent, reporting, and evidence",S-02;S-08;S-09;S-11;S-13,"mixed mechanism, counterevidence, or boundary case",low-medium,yes,G-003;G-004
F-125,bounded primary-corpus search,Communal Societies volume 36,T-12,dangerous-child bounded null and adjacent response evidence,S-09;S-11;S-14,bounded or unresolved null,high,no,G-018
F-126,intentional-community and communal-history corpus,"The Family (Anne Hamilton-Byrne group), Australia",T-09,"external correction, law, and professional boundaries",S-05;S-06;S-09;S-10,"harm, failure, or capture mechanism case",medium,yes,G-004;G-009;G-013
F-127,intentional-community and communal-history corpus,"The Family (Anne Hamilton-Byrne group), Australia",T-09,"external correction, law, and professional boundaries",S-06;S-09;S-10;S-11,"mixed mechanism, counterevidence, or boundary case",medium-low,yes,G-003;G-011;G-013
F-128,intentional-community and communal-history corpus,Peoples Temple; Jonestown,T-09,"external correction, law, and professional boundaries",S-06;S-09;S-10,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-001;G-003;G-013
F-129,intentional-community and communal-history corpus,Israeli kibbutz movement; World Zionist Organization; State of Israel,T-08,"capacity, infrastructure, labor, and external dependence",S-08;S-11;S-12;S-13,protective design or remedy component,medium,yes,G-006
F-130,intentional-community and communal-history corpus,"Dunites; Oceano, California",T-04,"conflict, bounded separation, and remedy",S-03;S-09,"mixed mechanism, counterevidence, or boundary case",low-medium,yes,G-001;G-005;G-007
F-131,bounded primary-corpus search,Communal Societies volume 37,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-132,intentional-community and communal-history corpus,Mennonite Central Committee; Eastern Mennonite Missions; Kenya Mennonite Church; Generations at Risk,T-08,"capacity, infrastructure, labor, and external dependence",S-09;S-10;S-11;S-12,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-003;G-011;G-013
F-133,intentional-community and communal-history corpus,New Lebanon Shaker community,T-02,"participation, dissent, reporting, and evidence",S-02;S-09;S-11,"mixed mechanism, counterevidence, or boundary case",medium-high,yes,G-003;G-007;G-018
F-134,intentional-community and communal-history corpus,Allensworth California,T-08,"capacity, infrastructure, labor, and external dependence",S-10;S-11;S-12,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-006;G-013;G-015
F-135,intentional-community and communal-history corpus,Society of Separatists of Zoar; Philadelphia Quakers; Joseph Michael Bäumler,T-07,"assets, exit, records, and material security",S-07;S-08;S-10;S-11;S-13,protective design or remedy component,medium-high,yes,G-004;G-012;G-013
F-136,intentional-community and communal-history corpus,Peoples Temple; Jonestown,T-02,"participation, dissent, reporting, and evidence",S-02;S-09;S-11,"method, source-quality, or measurement boundary",high,yes,G-003;G-004;G-006
F-137,intentional-community and communal-history corpus,Peoples Temple; California press and public institutions,T-02,"participation, dissent, reporting, and evidence",S-02;S-09;S-10;S-11,"method, source-quality, or measurement boundary",medium-high,yes,G-003;G-004;G-013;G-018
F-138,bounded primary-corpus search,Communal Societies volume 38,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-139,intentional-community and communal-history corpus,Twin Oaks Community,T-07,"assets, exit, records, and material security",S-07;S-08;S-11;S-13,protective design or remedy component,medium-high,yes,G-004;G-012
F-140,intentional-community and communal-history corpus,Texas ecological intentional communities,T-10,"success, outcomes, source quality, and measurement",S-04;S-11;S-12,"method, source-quality, or measurement boundary",high,yes,G-006;G-018
F-141,intentional-community and communal-history corpus,Nashoba,T-06,"children, family, education, and direct rights",S-05;S-06,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-005;G-006;G-009;G-018
F-142,bounded primary-corpus search,Communal Societies volume 39,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-143,intentional-community and communal-history corpus,Kerista Commune; Abacus Inc.,T-01,"authority, role fusion, and capture",S-01;S-02;S-08,"mixed mechanism, counterevidence, or boundary case",medium-high,yes,G-004;G-006;G-011;G-012;G-018
F-144,intentional-community and communal-history corpus,Skaneateles Community / Community Place,T-07,"assets, exit, records, and material security",S-07;S-08;S-10,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-004;G-012;G-013;G-018
F-145,intentional-community and communal-history corpus,White Water Shaker community; Central Ministry at Union Village,T-09,"external correction, law, and professional boundaries",S-09;S-10,"harm, failure, or capture mechanism case",medium,yes,G-001;G-003;G-005;G-013;G-018
F-146,bounded primary-corpus search,Communal Societies volume 40,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-147,intentional-community and communal-history corpus,Kerista Commune,T-02,"participation, dissent, reporting, and evidence",S-02;S-05;S-09,"harm, failure, or capture mechanism case",medium-high,yes,G-002;G-003;G-004;G-007;G-013;G-018
F-148,bounded primary-corpus search,Communal Societies volume 41,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-149,intentional-community and communal-history corpus,"Centrepoint Community, New Zealand",T-06,"children, family, education, and direct rights",S-05;S-06,"mixed mechanism, counterevidence, or boundary case",medium-high,yes,G-005;G-009;G-013;G-018
F-150,intentional-community and communal-history corpus,Love Family,T-06,"children, family, education, and direct rights",S-05;S-06;S-12,"mixed mechanism, counterevidence, or boundary case",medium,yes,G-005;G-006;G-008;G-009;G-017;G-018
F-151,bounded primary-corpus search,Communal Societies volume 42,T-12,dangerous-child bounded null and adjacent response evidence,S-11;S-14,bounded or unresolved null,high,no,G-018
F-152,intentional-community and communal-history corpus,New Harmony,T-06,"children, family, education, and direct rights",S-06;S-13,"mixed mechanism, counterevidence, or boundary case",medium-high,yes,G-003;G-005;G-008;G-009;G-018
