record_id,lead_source_id,lane,title,authors,year,publication,doi,canonical_url,accessed_on,access_status,evidence_scope,sequence_allegation,sequence_assessment,sequence_intervention,sequence_review,sequence_later_outcome,disposition,notes
C-002,,adjacent family and home-based child-welfare effectiveness,Effects of functional family therapy for adolescents in child welfare services on subsequent criminal charges and out-of-home placements: a randomized effectiveness trial,Asgeir Røyrhus Olseth; Andreas Høstmælingen; Gunnar Bjørnebekk,2026,Journal of Experimental Criminology,10.1007/s11292-026-09736-6,https://doi.org/10.1007/s11292-026-09736-6,2026-08-15,"complete open primary article, tables, protocol deviations, limitations, funding, conflict disclosure, DOI, and trial-registration link inspected",Randomized effectiveness trial in regular Norwegian child-welfare services; national-registry outcomes for 129 youths at 18 and 36 months after intake,"disruptive, aggressive, violent, school, or placement-risk referrals; few participants had prior charges","child-welfare eligibility, baseline measures, random assignment, and national-identifier linkage","three-to-six-month functional family therapy versus active treatment as usual, including MST, parent training, and family counselling",implementation fidelity monitoring plus national-registry follow-up; protocol and control services changed during recruitment,no statistically significant difference in criminal charges at 18 or 36 months or out-of-home placement at 18 months,F-177 promoted,Underpowered registry subset and active heterogeneous comparator; 40.7% of TAU received MST and TAU averaged more treatment hours. Two authors worked for the government-funded organization that implemented FFT in Norway from 2007 to 2024
C-003,,adjacent treatment foster care versus group care durability,Multidimensional Treatment Foster Care for Girls in the Juvenile Justice System: 2-Year Follow-up of a Randomized Clinical Trial,Patricia Chamberlain; Leslie D. Leve; David S. DeGarmo,2007,Journal of Consulting and Clinical Psychology 75(1):187-193,10.1037/0022-006X.75.1.187,https://doi.org/10.1037/0022-006X.75.1.187,2026-08-15,"complete open primary author manuscript, PubMed and PMC records, methods, results, limitations, DOI, and CONSORT flow inspected",Intent-to-treat randomized comparison of treatment foster care and 19 community group-care programs for 81 girls with chronic delinquency; 12- and 24-month follow-up,juvenile-court mandate to out-of-home care; mean more than 11 criminal referrals at baseline,"baseline court, youth, caregiver, and demographic assessment","trained and supervised foster homes with daily monitoring, caregiver support, youth and family therapy, school coordination, and on-call consultation versus usual group care",daily and weekly fidelity and case review during placement; blinded 12- and 24-month assessments and court records,greater reduction in the 24-month delinquency construct for MTFC; standardized beta -0.36 and Cohen's d 0.65; more than 100 fewer locked-setting days in raw means,F-178 promoted,"Mean randomized-placement stay was 174 days, so much of the 24-month window was beyond placement. Small, mostly White regional sample; developer-affiliated team; no component isolation, victim outcome, family-burden outcome, or independent replication in this source"
C-004,,adjacent residential forensic treatment and post-release transition,"Effectiveness of an Individual Cognitive-Behavioral Intervention for Serious, Young Male Violent Offenders: Randomized Controlled Study With Twenty-Four-Month Follow-Up",Martin Lardén; Jens Högström; Niklas Långström,2021,Frontiers in Psychiatry 12:670957,10.3389/fpsyt.2021.670957,https://doi.org/10.3389/fpsyt.2021.670957,2026-08-15,"complete open primary article, tables, supplement link, limitations, conflict disclosure, DOI, and PMC record inspected",Five-site randomized effectiveness trial in Swedish residential treatment homes; 81 males aged 16-21 assessed at 12 and 24 months after release,conviction for serious violent crime and medium-to-high assessed violent-recidivism risk,"baseline self-report, trained independent assessment, randomization across five sites, and nationwide conviction records","15-to-20-session individual CBT add-on begun four-to-six months before release, including relapse planning and identification of prosocial supports, versus group-based treatment as usual alone","therapist supervision, masked 12-month interviews, and nationwide conviction data for all participants at 12 and 24 months",no significant added effect on aggression or reconviction; violent reconviction was 34% versus 23% at 12 months and 50% versus 40% at 24 months for iCBT plus TAU versus TAU,F-179 promoted,"Only 15 of 38 assigned to iCBT completed at least 15 sessions and the trial was underpowered. Some participants were legal adults. The first author designed the intervention but reported no royalties, training, consulting, commercial, or financial gain"
D-001,F-156,adjacent official professional correction,New York Board of Regents enforcement-action summaries for Helen M. Fogarty (a/k/a Helen Moses) and Marc Rice,New York State Education Department Office of the Professions; New York State Board of Regents,1997,New York State Office of the Professions Enforcement Actions,,https://www.op.nysed.gov/enforcement/enforcement-actions?page=855,2026-08-15,"official regulator HTML inspected for the June 12 and July 18, 1997 psychology dispositions and for the regulator's description of authority",Two final professional-discipline summaries involving psychologists linked to the Sullivanian lead by F-156; the official pages themselves do not name the Sullivan Institute,"professional-misconduct charges involving therapist-patient or supervisor relationships, billing, undue influence, family contact, and sexual conduct",Office of the Professions investigation and prosecution followed by Board of Regents final disposition; the public summaries do not expose the complete evidentiary record,"license revocation and a $15,000 fine for Fogarty/Moses; license revocation for Rice","Board of Regents final disposition; underlying charges, findings, hearing records, and any appellate record were not available on the summary pages","professional authority was removed; no child, family, patient-recovery, institutional-remedy, or later safeguarding outcome is reported",F-180 promoted,"Fogarty/Moses: Psychology license 003729, calendar 01281, June 12, 1997. Rice: Psychology license 003903, calendar 10401, July 18, 1997; companion official page https://www.op.nysed.gov/enforcement/enforcement-actions?page=854. The official record corroborates two dispositions, not every person or causal link reported in F-156"
D-002,F-157,adjacent official inquiry and ongoing safeguarding,Whanaketia: final inquiry findings and Recommendation 88 concerning Gloriavale,Royal Commission of Inquiry into Historical Abuse in State Care and in the Care of Faith-based Institutions,2024,"Whanaketia — Through pain and trauma, from darkness to light",,https://www.abuseincare.org.nz/reports/whanaketia/part-9/chapter-5,2026-08-15,"official Royal Commission final-report HTML, findings, institutional-response material, government-briefing summary, and recommendations inspected","Final inquiry record combining survivor evidence, an institutional-response hearing, policy material, criminal-history records, and government briefings; historical scope is principally 1950-1999 with later correction context through December 2023","survivor reports of physical, sexual, spiritual, economic, educational, and medical abuse or neglect and blocked external reporting","Royal Commission evidence process using testimony, witness statements, institutional hearing evidence, policies, official records, and disclosed government briefings",external police and child-protection responses; a cross-agency government coordinating function from August 2022 through December 2023; safety-plan context; Gloriavale-specific Recommendation 88,"final inquiry findings, oversight recommendations, and a direction that ongoing safety remain a government responsibility rather than an internal assurance","the coordination function ended while official briefings still recorded child-wellbeing risks; Recommendation 88 is a correction requirement, not proof that implementation or later safety was achieved",F-181 promoted,"Companion official sections include https://www.abuseincare.org.nz/reports/whanaketia/part-7/chapter-5, https://www.abuseincare.org.nz/reports/whanaketia/part-7/chapter-8, https://www.abuseincare.org.nz/reports/whanaketia/part-4/chapter-4-6, and https://www.abuseincare.org.nz/reports/whanaketia/preliminaries/recommendations. Any charge status quoted by the report is historical as of its cited briefing and was not promoted as current in 2026"
D-003,F-067,adjacent statutory inquiry and external reporting,Child protection in religious organisations and settings investigation report,Independent Inquiry into Child Sexual Abuse Inquiry Panel,2021,Independent Inquiry into Child Sexual Abuse,,https://www.iicsa.org.uk/reports-recommendations/publications/investigation/cp-religious-organisations-settings,2026-08-15,"complete official statutory-inquiry web report, Jesus Fellowship section, conclusions, recommendations, cited hearing transcript, and police evidence references inspected",Thematic statutory-inquiry record; Jesus Fellowship evidence connects survivor testimony about communal disclosure barriers with police-supplied Operation Lifeboat prosecution counts and sector-wide conclusions,"survivor testimony described child abuse, disbelief, blame, prayer or relocation responses, distrust of outside bodies, reputation pressure, and forgiveness used after disclosure","public-hearing testimony and documentary evidence, including Northamptonshire Police materials; the report distinguishes allegations, prosecutions, and convictions","2013 public invitation for disclosures; transfer to police; Operation Lifeboat investigation; trials and convictions; inquiry recommendations for policies, professional advice, victim-focused procedures, training, and wider oversight","statutory inquiry analysis; the report states internal discipline is not a substitute for external reporting, justice, redress, or risk assessment","the report recorded six convicted perpetrators for offences relating to 11 children and a then-ongoing further investigation; it did not supply later survivor wellbeing, complete prevalence, redress, or post-report implementation outcomes",F-182 promoted,"Published September 2, 2021. Companion official pages include the Jesus Fellowship evidence section, conclusions, recommendations, records section, and hearing transcript. The inquiry reproduced some witness characterizations that are not adopted here as diagnoses or danger proxies"
E-001,F-092,adjacent fair-exit instrument architecture,"The Mothership LLC operating agreement, draft dated March 20, 2016",The Mothership LLC; shared by the Federation of Egalitarian Communities,2016,"Federation of Egalitarian Communities, Systems & Structures",,https://www.thefec.org/systems-and-structures/the-mothership-llc-operating-agreements-draft-03202016/,2026-08-15,complete public HTML transcription of an explicitly labelled draft instrument inspected; placeholder signature pages mean execution and adoption are not established,"draft withdrawal, member-record access, leaving-fund reserve, retirement-fund disbursement, debt priority, mediation, and arbitration terms",a member may withdraw for any or no reason on 30 days' written notice; the same leaving-fund payout applies after expulsion,member access to books and internally prepared reports; pre-existing assets and liabilities disclosed and transferred in title or trust as member consensus decides; no independent valuation or former-member record right is specified,Leaving Fund payable within two business days with cash reserved for all members; a distinct retirement fund may be paid over ten years or at a 50 percent lump-sum value,"negotiation, mutually acceptable mediation, then arbitration; parties initially bear their own expenses and share neutral costs, while community coverage depends on member consensus","no signed final agreement, actual reserve balance, withdrawal, expulsion, payout, dispute, housing transition, or later member outcome was located",F-183 promoted,"The document is a primary draft with sample names and blank signatures, not evidence of implementation or a validated model. Moora Moora's public manifesto was also inspected as a lead comparator but expressly says its figures are not current and directs readers to nonpublic formal rules"
E-002,F-160,adjacent pooled-health governance and claim account,PEACH official governance page and administrator claim account,Federation of Egalitarian Communities; Laird Schaub interviewed by Mira Luna,2013,Federation of Egalitarian Communities; Grassroots Economic Organizing,,https://www.thefec.org/about/projects/peach/,2026-08-15,"current official organization page plus a 2013 first-person administrator interview inspected; governing rules, claim forms, claim ledger, audits, and legal-status record were not public in the inspected materials","community-level governance, contribution and reimbursement mechanics, a historical claim-payment assertion, reserve investment, participating-community withdrawal, and the express absence of an individual entitlement",a participating community incurs and approves a member's medical expense; the 2013 account says claims are made by communities rather than individuals,"the community pays first and decides whether to file; the 2013 account reports a licensed-provider prescription condition for treatments, but no individual independent intake, denial notice, hardship, or appeal process","historical account: PEACH reimburses 90 percent above a $5,000 community-paid threshold up to a formula-based annual limit; a withdrawing community receives 90 percent of contributions less reimbursements","one representative from each participating community governs PEACH separately from FEC delegates, with a technical administrator; no public member-level appeal or external review route was located","the 2013 interview claimed roughly one claim per year for about 200 people in eight communities and all claims paid except one; the current official page supplies no audit, denial denominator, current reserve, or later individual outcome",F-184 promoted,"The sources' self-insurance terminology is descriptive, not an independent legal conclusion. The official page corroborates the governance layer but not the 2013 claim history. No treatment choice, coverage waiver, or private-community medical authority is recommended"
E-003,F-161,adjacent Hutterite allocation and planned-fission record,Walter Estate v. Walter and the Hutterian Brethren public Daughter Colony record,Alberta Court of Appeal; Hutterites.org member editors,1986,Alberta Court of Appeal; Hutterites.org,,https://ca.vlex.com/vid/walter-estate-v-walter-680778253,2026-08-15,"reported appellate judgment text and the official member-managed Hutterites.org description inspected; the 1972 trust agreement, trial judgment, and a specific planned-division schedule were not obtained","a primary court allocation after Felger Colony partnership dissolution, kept distinct from the current Hutterite public description of customary daughter-colony formation",Walter concerned dissolution and competing beneficiary interests after loss of communal purpose; the public daughter-colony record describes a planned scale response near 30 families or 150 people,"the trial court identified nine partners and assessed interests by service, with an offset for diverted funds; in a planned split, assets are valued into home- and daughter-colony portions while people may volunteer or be divided into groups","the appellate court affirmed the service-based allocation; the public planned-fission account describes volunteer relocation or selection between groups by lot, followed by a rapid family move in some branches","court appeal for the dissolution allocation; no independent appeal, dissent process, or neutral valuation route is described on the daughter-colony page","the legal record reports the allocation judgment, not member wellbeing or successor viability; the public planned-fission account reports aggregate structure and acknowledges pain but no comparative later outcome",F-185 promoted,"A 2021 open-access field study corroborates inventory, valuation, debt division, and later financial strain and describes a 1966 James Valley accounting, but the accounting itself was not directly accessible. Neither aggregate parity nor lot-casting establishes individual consent"
E-004,F-068,adjacent court-supervised trust closure,"Schedule 1A – the Notice under the High Court order of July 25, 2025, with current JFCT closure phases",High Court of Justice; Jesus Fellowship Community Trust trustees,2025,Jesus Fellowship Community Trust,,https://jesus.org.uk/wp-content/uploads/2025/08/Schedule-1A-The-Notice.pdf,2026-08-15,"complete four-page official notice, official closure-phase page, August 2025 update, and March 2026 update inspected; the full order and complete Trust Deed were available only on request in the inspected notice and were not obtained",court-supervised claim cut-off before trust-asset distribution plus current trust-deed-based historic-request and residual-apportionment rules,"claims outside the Trust Deed and listed-beneficiary position had to be notified with identity, facts, legal basis, evidence, and amount or calculation by October 16, 2025","trustees classify notified claims as rejected or pending resolution under the order; historic and apportionment eligibility separately depends on records, defined contribution periods, deadlines, and beneficiary votes","the court procedure preserves timely notified claims before distribution; separate phases cover initial transition payments, redress and claims, historic requests, and residual apportionment",High Court order and potential litigation for court-notice claims; Trust Deed and listed-beneficiary votes control later discretionary phases; legal advice and litigation costs for notice claims fall on claimants,"the trustees declared the court claims procedure complete on January 23, 2026; March 2026 deed amendments added two Phase 3 categories whose registration window closed April 30, 2026; final distributions, closure, and recipient outcomes remain incomplete",F-186 promoted,"A claims cut-off, redress award, beneficiary vote, or completed trust distribution is not a fair-exit outcome by itself. The public notice says untimely covered claims become permanently unavailable and that claimants bear their own legal costs; the record does not establish accessibility, family repair, or later wellbeing"
LP-001,,autonomous Indigenous governance primary architecture,Chiapas: la treceava estela. Sexta parte: un buen gobierno,Ejercito Zapatista de Liberacion Nacional; Subcomandante Insurgente Marcos,2003,Enlace Zapatista,,https://enlacezapatista.ezln.org.mx/2003/07/21/chiapas-la-treceava-estela-sexta-parte-un-buen-gobierno/,2026-08-15,complete official EZLN communique in Spanish inspected,"Declared division of functions among autonomous municipalities, regional Good Government Councils, communities, and the EZLN oversight structure","complaints against autonomous councils, human-rights violations, protests, conflicts, corruption, arbitrariness, or unequal municipal development","regional council receives complaints, investigates truth, mediates intermunicipal conflict, and monitors agreed laws and projects",Good Government Council may order an autonomous municipal council to correct an error and monitor compliance; municipalities retain justice and other ordinary governing functions,"regional council plus a distinct EZLN committee oversight role intended to prevent corruption, intolerance, arbitrariness, and injustice","the communique establishes intended architecture and launch, not case-level implementation, appeal performance, or later human outcomes",F-187 promoted,Primary movement statement. It directly distinguishes local government from a regional correction layer inside Zapatista autonomy; it does not prove that either layer always functioned as described.
LP-002,LP-001,autonomous Indigenous justice ethnography,The Politics of Justice: Zapatista Autonomy at the Margins of the Neoliberal Mexican State,Mariana Mora,2015,Latin American and Caribbean Ethnic Studies 10(1),10.1080/17442222.2015.1034439,https://doi.org/10.1080/17442222.2015.1034439,2026-08-15,"publisher abstract, notes, and article metadata inspected; complete article not publicly accessible in this pass",Ethnographic analysis of Zapatista conflict-resolution practices and their relationship to Mexican state regulation,"local civil, interpersonal, and land conflicts in Zapatista autonomous territory",community and autonomous authorities use culturally grounded conflict-resolution practices,Zapatista justice operates as an alternative forum rather than merely referring ordinary conflict to official Peace Courts,article analyses the interplay between autonomous practice and shifting state regulation; complete case-level appeal records were not available in this pass,supports enactment of autonomous justice but does not provide a representative denominator or complete later-outcome panel,F-187 corroboration; no separate finding,"Kept distinct from the EZLN's own institutional statement. The article supports practice, not a claim that every decision was fair or independent."
LP-003,LP-001,autonomous Indigenous governance primary reorganization,Ninth Part: The new structure of Zapatista Autonomy,Ejercito Zapatista de Liberacion Nacional; Subcomandante Insurgente Moises,2023,Enlace Zapatista,,https://enlacezapatista.ezln.org.mx/2023/11/13/ninth-part-the-new-structure-of-zapastista-autonomy/,2026-08-15,complete official English translation inspected,"Declared replacement of MAREZ/JBG structure with Local Autonomous Governments, Collectives, and zone assemblies after a decade of evaluation","mismanagement, corruption, errors, needs spanning communities, and external threats",local assemblies direct GALs; GALs report errors and convene CGAZ/ACGAZ layers according to need,"health, education, agroecology, justice, commerce, training, security, and emergency functions move among local, regional, and zone levels according to scale",upper layers are declared accountable downward and without independent authority over the base; the movement describes criticism and self-criticism as the basis for redesign,the statement says the new structure is still being learned and supplies no evaluation of later performance,F-188 promoted,High confidence for declared architecture; no inference that the 2023 design solved the weaknesses that motivated it.
LP-004,LP-001,current Zapatista authority field study and contested-control boundary,The difficult art of sustaining alternative governance: the case of the EZLN,Luca Venga,2025,"Territory, Politics, Governance",10.1080/21622671.2025.2583055,https://doi.org/10.1080/21622671.2025.2583055,2026-08-15,"complete publisher HTML, methods, findings, limitations, ethics, and disclosure sections inspected through indexed full text","Summer 2023 ethnography and more than 40 semi-structured interviews across several Chiapas sites concerning competing public authorities, justice, education, and recent pressure","fragmented public authority, cartel and paramilitary pressure, pandemic disruption, service gaps, and declining territorial reach","participant observation and purposive interviews with state officials, Zapatistas, sympathizers, businesses, journalists, clergy, and civil society actors","parallel Zapatista justice, education, public-goods provision, and recent decentralized reorganization",author compares multiple authority centers and reports both legitimacy and decline claims; interview data are anonymized and unavailable publicly for safety,"reports long coexistence with state authority, some respected autonomous justice and educational diffusion, plus recent loss of reach under new pressures",F-187 and F-188 corroboration; no separate finding,"One current field study, not a definitive population estimate. Its decline interpretation may partly describe adaptation, sealed access, or regional variation and must not be universalized."
LP-005,LP-003,translocal Zapatista pedagogy and diffusion,Sowing Indigenous Autonomy: Building a Common Political-Ethical Territory of Struggle with Zapatista Seed Pedagogics,Charlotte Maria Saenz,2024,Latin American Perspectives 51(5),10.1177/0094582X241288861,https://doi.org/10.1177/0094582X241288861,2026-08-15,"publisher abstract, methods summary, metadata, and references inspected; companion open 2023 article record inspected","Interviews with external activists in neo-Zapatista networks about decades of learning, accompaniment, and organization outside autonomous territory",hierarchy and vanguard habits reproduced inside movements seeking social change,qualitative interviews and evolving conversations with external activists who encountered or accompanied Zapatismo,"reflexive learning, listening, historical memory, collective organization, and transgeographic political-ethical practice",participants reflect on lifelong learning rather than receiving a fixed organizational blueprint,reports collectivities and political-ethical learning beyond Zapatista territory but not worldwide adoption rates or comparative community outcomes,F-189 promoted,Useful for the owner's diffusion criterion. Interviewed movement-adjacent activists are not a representative sample of all visitors or attempted adaptations.
LP-006,,hybrid Indigenous municipal autonomy and communal security,"Communal Responses to Structural Violence and Dispossession in Cheran, Mexico",Giovanna Gasparello,2021,Latin American Perspectives 48(1),10.1177/0094582X20975004,https://doi.org/10.1177/0094582X20975004,2026-08-15,"complete indexed publisher article, methods, findings, limitations, and conclusion inspected","Long-stay ethnography, 26 structured interviews, newspaper history, official demographic and crime data, and institutional analysis of Cheran after the 2011 uprising","kidnapping, extortion, illegal logging, homicide, disappearance, political corruption, and state failure","bonfire and neighborhood assemblies, communal councils, Community Watch, local mediation, field interviews, and public data",communal government and security replaced party government and municipal police; local council handles minor matters while serious crimes are referred to a state Public Ministry office,rotating and nested assemblies oversee councils; legal proceedings secured recognition of elections under Indigenous norms; state subsidies and serious-crime referral remained,"reported drastic decline in high-impact crime after 2013, reforestation, renewed public life, and attempted replication nearby, with structural economic exclusion unresolved",F-190 promoted,"A hybrid autonomy case: community organization preceded legal recognition, while selective state interfaces and public subsidies remained. Observational design does not isolate causality."
LP-007,LP-006,official recognition of Indigenous self-government,SUP-JDC-9167/2011: Juicio para la proteccion de los derechos politico-electorales del ciudadano,"Tribunal Electoral del Poder Judicial de la Federacion, Sala Superior",2011,Tribunal Electoral del Poder Judicial de la Federacion,,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-JDC-9167-2011,2026-08-15,complete official judgment HTML and dispositive orders inspected,"Official ruling on Cheran community members' right to elect their authorities through their own norms, procedures, and traditional practices",state electoral body claimed local law supplied neither a procedure nor authority for an usos-y-costumbres election,federal electoral judicial review grounded in constitutional Indigenous self-determination and effective access to justice,"revoked the state electoral agreement, displaced the party-election preparations, and ordered implementation actions",federal electoral judgment and subsequent implementation duties,established legal recognition of the requested election route; it did not create Cheran's prior mobilization or prove later governance quality,F-190 official corroboration; no separate finding,"The case shows strategic use of a state court to protect an autonomous order, not dependence on the court for the origin of that order."
LP-008,,regional Indigenous policing and justice comparison,Indigenous Resistance to Criminal Governance: Why Regional Ethnic Autonomy Institutions Protect Communities from Narco Rule in Mexico,Sandra Ley; Shannan Mattiace; Guillermo Trejo,2019,Latin American Research Review 54(1),10.25222/larr.377,https://doi.org/10.25222/larr.377,2026-08-15,"complete open article, methods, paired comparison, alternative explanations, and external-validity analysis inspected",Paired process tracing in Guerrero and Chihuahua using more than 30 interviews plus statistical analysis of 881 Indigenous municipalities in 20 Mexican states,"cartel attempts to capture local governments, police, territory, young recruits, and economic activity",community assemblies select and oversee local police and regional prosecutors; Casas de Justicia investigate; paired regional comparison and municipality-level analysis test mechanisms,"CRAC-PC scales village accountability into regional policing, justice, information sharing, cross-village mobilization, and external territorial defense",assemblies oversee and sanction officers; multiple local and regional layers create internal accountability and translocal protection,study reports far stronger resistance to criminal governance in Guerrero than the isolated Tarahumara comparison and supportive municipality-level association,F-191 promoted,"Strong mechanism evidence but observational. It does not establish perfect due process, complete crime incidence, gender equality, or current performance after later CRAC-PC fractures."
